genes,Description
Nbe.v1.s00010g53000,"MYB-CC type transfactor, LHEQLE motif"
Nbe.v1.s00010g53020,Belongs to the oxygen-dependent FAD-linked oxidoreductase family
Nbe.v1.s00010g53030,Ankyrin repeat
Nbe.v1.s00010g53050,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g53060,Domain of unknown function (DUF4149)
Nbe.v1.s00010g53080,phosphoinositide phosphatase
Nbe.v1.s00010g53090,phosphoinositide phosphatase
Nbe.v1.s00010g53120,DOMON domain-containing protein
Nbe.v1.s00010g53160,-
Nbe.v1.s00010g53180,Proteinase inhibitor
Nbe.v1.s00010g53190,-
Nbe.v1.s00010g53200,basic region leucin zipper
Nbe.v1.s00010g53210,-
Nbe.v1.s00010g53230,-
Nbe.v1.s00010g53250,Agamous-like MADS-box protein
Nbe.v1.s00010g53260,Plant mobile domain
Nbe.v1.s00010g53300,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g53310,Domain of unknown function (DUF1985)
Nbe.v1.s00010g53320,Myb-related protein 330-like
Nbe.v1.s00010g53330,Ribonuclease H protein
Nbe.v1.s00010g53350,protein serine/threonine phosphatase inhibitor activity
Nbe.v1.s00010g53360,Belongs to the adenylate kinase family
Nbe.v1.s00010g53370,Regulator of chromosome condensation (RCC1) repeat
Nbe.v1.s00010g53400,Heat shock chaperonin-binding motif.
Nbe.v1.s00010g53410,Belongs to the small heat shock protein (HSP20) family
Nbe.v1.s00010g53420,RF-1 domain
Nbe.v1.s00010g53460,Alkaline neutral invertase
Nbe.v1.s00010g53470,-
Nbe.v1.s00010g53480,Transcription factor
Nbe.v1.s00010g53490,-
Nbe.v1.s00010g53500,DEAD DEAH box RNA helicase family protein
Nbe.v1.s00010g53520,"transposition, RNA-mediated"
Nbe.v1.s00010g53540,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00010g53550,spliceosomal complex assembly
Nbe.v1.s00010g53560,DEAD DEAH box RNA helicase family protein
Nbe.v1.s00010g53570,DEAD DEAH box RNA helicase family protein
Nbe.v1.s00010g53580,Deoxynucleoside kinase
Nbe.v1.s00010g53600,"Zinc finger, GRF-type"
Nbe.v1.s00010g53610,methyltransferase involved in the maturation of rRNA and in the biogenesis of ribosomal subunits
Nbe.v1.s00010g53620,Seed dormancy control
Nbe.v1.s00010g53630,Retrotransposon gag protein
Nbe.v1.s00010g53640,"transposition, RNA-mediated"
Nbe.v1.s00010g53650,Ribonuclease H protein
Nbe.v1.s00010g53660,Uncharacterised protein family (UPF0160)
Nbe.v1.s00010g53730,-
Nbe.v1.s00010g53760,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00010g53770,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g53780,peroxidase
Nbe.v1.s00010g53800,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g53860,protein dimerization activity
Nbe.v1.s00010g53880,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00010g53890,Agamous-like MADS-box protein
Nbe.v1.s00010g53930,calcium homeostasis endoplasmic reticulum
Nbe.v1.s00010g53950,calcium homeostasis endoplasmic reticulum
Nbe.v1.s00010g54000,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
Nbe.v1.s00010g54010,-
Nbe.v1.s00010g54020,heat shock protein 70
Nbe.v1.s00010g54030,Acetyltransferase (GNAT) family
Nbe.v1.s00010g54040,Acetyltransferase (GNAT) family
Nbe.v1.s00010g54050,Pentatricopeptide repeat domain
Nbe.v1.s00010g54060,Belongs to the tRNA nucleotidyltransferase poly(A) polymerase family
Nbe.v1.s00010g54070,-
Nbe.v1.s00010g54080,Plant invertase/pectin methylesterase inhibitor
Nbe.v1.s00010g54100,Thioredoxin-like domain
Nbe.v1.s00010g54110,PA domain
Nbe.v1.s00010g54120,Rgp1
Nbe.v1.s00010g54130,Cytochrome oxidase biogenesis protein
Nbe.v1.s00010g54140,Protein BREAST CANCER SUSCEPTIBILITY 2 homolog
Nbe.v1.s00010g54150,peroxidase
Nbe.v1.s00010g54160,-
Nbe.v1.s00010g54180,-
Nbe.v1.s00010g54190,"transposition, RNA-mediated"
Nbe.v1.s00010g54200,"transposition, RNA-mediated"
Nbe.v1.s00010g54210,Integrase core domain containing protein
Nbe.v1.s00010g54240,-
Nbe.v1.s00010g54250,-
Nbe.v1.s00010g54260,-
Nbe.v1.s00010g54280,Ribonuclease H protein
Nbe.v1.s00010g54290,Ribonuclease H protein
Nbe.v1.s00010g54300,peroxidase
Nbe.v1.s00020g00010,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g00020,Belongs to the universal ribosomal protein uL13 family
Nbe.v1.s00020g00030,Frigida-like protein
Nbe.v1.s00020g00060,BAH domain
Nbe.v1.s00020g00100,Indole-3-acetic acid-amido synthetase
Nbe.v1.s00020g00110,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g00130,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g00160,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g00170,Ribosomal protein L37
Nbe.v1.s00020g00180,Belongs to the peroxisomal membrane protein PXMP2 4 family
Nbe.v1.s00020g00200,RNA helicase
Nbe.v1.s00020g00210,ribosomal protein L27
Nbe.v1.s00020g00220,Sulfite exporter TauE/SafE
Nbe.v1.s00020g00240,alcohol dehydrogenase
Nbe.v1.s00020g00250,Myb-like DNA-binding domain
Nbe.v1.s00020g00260,Ribonuclease H protein
Nbe.v1.s00020g00270,Belongs to the peptidase C1 family
Nbe.v1.s00020g00280,procollagen-lysine 5-dioxygenase activity
Nbe.v1.s00020g00290,procollagen-lysine 5-dioxygenase activity
Nbe.v1.s00020g00300,Amino-transferase class IV
Nbe.v1.s00020g00310,GAT domain
Nbe.v1.s00020g00340,embryonic flower
Nbe.v1.s00020g00350,Belongs to the ubiquitin-conjugating enzyme family
Nbe.v1.s00020g00360,embryonic flower
Nbe.v1.s00020g00370,U-box domain-containing protein
Nbe.v1.s00020g00390,-
Nbe.v1.s00020g00400,Involved in the synthesis of glucuronoxylan hemicellulose in secondary cell walls
Nbe.v1.s00020g00410,-
Nbe.v1.s00020g00420,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00020g00430,pectinesterase
Nbe.v1.s00020g00440,Protein kinase domain
Nbe.v1.s00020g00450,SAWADEE domain
Nbe.v1.s00020g00460,Belongs to the SNF7 family
Nbe.v1.s00020g00490,Epsin N-terminal homology (ENTH) domain
Nbe.v1.s00020g00500,Protein EARLY FLOWERING
Nbe.v1.s00020g00520,Eukaryotic protein of unknown function (DUF866)
Nbe.v1.s00020g00540,-
Nbe.v1.s00020g00550,Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins
Nbe.v1.s00020g00560,leucine-rich repeat receptor-like protein kinase At1g68400 isoform X1
Nbe.v1.s00020g00570,TIP49 C-terminus
Nbe.v1.s00020g00580,disease resistance
Nbe.v1.s00020g00590,UDP-D-apiose UDP-D-xylose synthase
Nbe.v1.s00020g00600,Splicing factor U2af small subunit
Nbe.v1.s00020g00610,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00020g00620,Mitochondrial inner membrane protease ATP23
Nbe.v1.s00020g00630,PADR1
Nbe.v1.s00020g00640,BEST Arabidopsis thaliana protein match is alpha beta-Hydrolases superfamily protein (TAIR
Nbe.v1.s00020g00670,Domain of unknown function (DUF4413)
Nbe.v1.s00020g00680,basic region leucin zipper
Nbe.v1.s00020g00690,Belongs to the universal ribosomal protein uL1 family
Nbe.v1.s00020g00710,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g00720,Serine threonine-protein phosphatase 7 long form homolog
Nbe.v1.s00020g00730,Serine threonine-protein phosphatase 7 long form homolog
Nbe.v1.s00020g00750,Elongation factor 2
Nbe.v1.s00020g00760,Elongation factor
Nbe.v1.s00020g00770,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00020g00780,disease resistance
Nbe.v1.s00020g00790,disease resistance
Nbe.v1.s00020g00800,disease resistance
Nbe.v1.s00020g00810,disease resistance
Nbe.v1.s00020g00820,F-Box protein
Nbe.v1.s00020g00830,Belongs to the peroxidase family
Nbe.v1.s00020g00840,Dcp1-like decapping family
Nbe.v1.s00020g00900,Nicastrin
Nbe.v1.s00020g00910,"transposition, RNA-mediated"
Nbe.v1.s00020g00920,Photosystem I subunit
Nbe.v1.s00020g00930,-
Nbe.v1.s00020g00940,Ccr4-associated factor
Nbe.v1.s00020g00950,Belongs to the AAA ATPase family
Nbe.v1.s00020g00970,MULE transposase domain
Nbe.v1.s00020g00980,plant mutator transposase zinc finger
Nbe.v1.s00020g00990,RING-type E3 ubiquitin transferase
Nbe.v1.s00020g01010,Serine threonine-protein kinase
Nbe.v1.s00020g01020,Required for endonucleolytic cleavage during polyadenylation-dependent pre-mRNA 3'-end formation
Nbe.v1.s00020g01030,"Protein phosphatase 2A homologues, catalytic domain."
Nbe.v1.s00020g01040,Fantastic Four meristem regulator
Nbe.v1.s00020g01050,-
Nbe.v1.s00020g01060,Protein of unknown function (DUF3148)
Nbe.v1.s00020g01070,Glycosyl hydrolase family 3 C-terminal domain
Nbe.v1.s00020g01080,CO dehydrogenase flavoprotein C-terminal domain
Nbe.v1.s00020g01090,Belongs to the small heat shock protein (HSP20) family
Nbe.v1.s00020g01100,PPR repeat
Nbe.v1.s00020g01130,PPR1 protein
Nbe.v1.s00020g01140,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g01190,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g01200,PPR1 protein
Nbe.v1.s00020g01250,spliceosomal complex assembly
Nbe.v1.s00020g01270,Double-stranded RNA binding motif
Nbe.v1.s00020g01280,"Cobalamin-independent synthase, Catalytic domain"
Nbe.v1.s00020g01300,Ethylene insensitive 3
Nbe.v1.s00020g01310,TATA box-binding protein-associated factor RNA polymerase I subunit
Nbe.v1.s00020g01320,Late embryogenesis abundant protein
Nbe.v1.s00020g01340,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g01350,snRNP Sm proteins
Nbe.v1.s00020g01360,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
Nbe.v1.s00020g01370,Domain of unknown function (DUF3546)
Nbe.v1.s00020g01380,Forkhead associated domain
Nbe.v1.s00020g01390,DNA RNA polymerases superfamily protein
Nbe.v1.s00020g01400,molybdopterin biosynthesis
Nbe.v1.s00020g01410,Belongs to the cyclin family
Nbe.v1.s00020g01430,ATP synthase regulation protein NCA2
Nbe.v1.s00020g01440,Cysteine proteinase inhibitor
Nbe.v1.s00020g01450,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic chromoplastic"
Nbe.v1.s00020g01470,zinc-ribbon
Nbe.v1.s00020g01480,THO complex subunit 7A-like
Nbe.v1.s00020g01490,basic region leucin zipper
Nbe.v1.s00020g01510,RNA recognition motif
Nbe.v1.s00020g01520,DUF1785
Nbe.v1.s00020g01530,Calmodulin
Nbe.v1.s00020g01540,F-Box protein
Nbe.v1.s00020g01550,Phytochromobilin
Nbe.v1.s00020g01560,NAD(P)H-binding
Nbe.v1.s00020g01570,F-Box protein
Nbe.v1.s00020g01590,GRAS domain family
Nbe.v1.s00020g01600,D-cysteine desulfhydrase 2
Nbe.v1.s00020g01610,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g01620,D-cysteine desulfhydrase 2
Nbe.v1.s00020g01640,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00020g01650,Transcription factor
Nbe.v1.s00020g01660,Transcription factor
Nbe.v1.s00020g01670,Belongs to the protein kinase superfamily
Nbe.v1.s00020g01680,CBL-interacting serine threonine-protein kinase
Nbe.v1.s00020g01690,"motif in proteasome subunits, Int-6, Nip-1 and TRIP-15"
Nbe.v1.s00020g01700,-
Nbe.v1.s00020g01720,aspartic-type endopeptidase activity
Nbe.v1.s00020g01730,Multicopper oxidase
Nbe.v1.s00020g01740,Multicopper oxidase
Nbe.v1.s00020g01750,Signal peptide peptidase-like
Nbe.v1.s00020g01760,"Zinc finger, C3HC4 type (RING finger)"
Nbe.v1.s00020g01770,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00020g01780,Non-specific phospholipase C2
Nbe.v1.s00020g01790,Rho GTPase-activating protein 7-like
Nbe.v1.s00020g01810,-
Nbe.v1.s00020g01820,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g01840,EF-hand domain
Nbe.v1.s00020g01850,Transcription factor
Nbe.v1.s00020g01860,Lysine histidine transporter-like 5
Nbe.v1.s00020g01870,RNase H family protein
Nbe.v1.s00020g01880,-
Nbe.v1.s00020g01890,Domain of unknown function (DUF4283)
Nbe.v1.s00020g01900,-
Nbe.v1.s00020g01910,Belongs to the cytochrome P450 family
Nbe.v1.s00020g01920,Belongs to the cytochrome P450 family
Nbe.v1.s00020g01930,Cytochrome p450
Nbe.v1.s00020g01960,Cytochrome p450
Nbe.v1.s00020g01970,Cytochrome p450
Nbe.v1.s00020g01980,Cytochrome p450
Nbe.v1.s00020g01990,Cytochrome p450
Nbe.v1.s00020g02000,atp sulfurylase 1
Nbe.v1.s00020g02010,Belongs to the cytochrome P450 family
Nbe.v1.s00020g02040,Belongs to the cytochrome P450 family
Nbe.v1.s00020g02070,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00020g02080,Belongs to the glycosyl hydrolase 17 family
Nbe.v1.s00020g02090,ATP-NAD kinase
Nbe.v1.s00020g02100,NmrA-like family
Nbe.v1.s00020g02110,Leucine-rich repeat receptor-like protein kinase
Nbe.v1.s00020g02120,plant mutator transposase zinc finger
Nbe.v1.s00020g02140,NAD dependent epimerase/dehydratase family
Nbe.v1.s00020g02150,DNA repair protein XRCC2 homolog
Nbe.v1.s00020g02160,Conserved gene of
Nbe.v1.s00020g02170,Conserved gene of
Nbe.v1.s00020g02180,Conserved gene of
Nbe.v1.s00020g02190,Conserved gene of
Nbe.v1.s00020g02200,Conserved gene of
Nbe.v1.s00020g02210,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00020g02220,CCAAT-Binding transcription Factor
Nbe.v1.s00020g02230,Translocation protein Sec62
Nbe.v1.s00020g02240,2Fe-2S iron-sulfur cluster binding domain
Nbe.v1.s00020g02280,EF-hand domain
Nbe.v1.s00020g02290,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g02310,Conserved gene of
Nbe.v1.s00020g02320,Conserved gene of
Nbe.v1.s00020g02340,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Nbe.v1.s00020g02350,Ribonuclease H protein
Nbe.v1.s00020g02360,Belongs to the nucleosome assembly protein (NAP) family
Nbe.v1.s00020g02370,origin recognition complex
Nbe.v1.s00020g02380,Ribonuclease H protein
Nbe.v1.s00020g02390,Plastocyanin-like domain
Nbe.v1.s00020g02400,Ribonuclease H protein
Nbe.v1.s00020g02410,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00020g02420,Ribonuclease H protein
Nbe.v1.s00020g02430,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g02460,Modified RING finger domain
Nbe.v1.s00020g02470,ADP binding
Nbe.v1.s00020g02480,"Mannan endo-1,4-beta-mannosidase"
Nbe.v1.s00020g02490,"Mannan endo-1,4-beta-mannosidase"
Nbe.v1.s00020g02495,Zinc finger CCCH domain-containing protein 19-like
Nbe.v1.s00020g02500,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00020g02520,Transcription factor
Nbe.v1.s00020g02530,Stress-associated protein
Nbe.v1.s00020g02540,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00020g02550,Vinorine synthase-like
Nbe.v1.s00020g02570,Vinorine synthase-like
Nbe.v1.s00020g02590,Vinorine synthase-like
Nbe.v1.s00020g02610,zinc ion binding
Nbe.v1.s00020g02620,AP2-like ethylene-responsive transcription factor PLT2 isoform X1
Nbe.v1.s00020g02640,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00020g02650,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00020g02670,Pentatricopeptide repeat-containing protein At2g01390-like
Nbe.v1.s00020g02690,-
Nbe.v1.s00020g02700,ADP binding
Nbe.v1.s00020g02710,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00020g02720,Domain of unknown function (DUF4283)
Nbe.v1.s00020g02730,ADP binding
Nbe.v1.s00020g02740,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00020g02770,-
Nbe.v1.s00020g02780,Component of the DNA topoisomerase VI involved in chromatin organization and progression of endoreduplication cycles. Relaxes both positive and negative superturns and exhibits a strong decatenase activity. The B subunit binds ATP
Nbe.v1.s00020g02790,TMV resistance protein N-like
Nbe.v1.s00020g02800,resistance
Nbe.v1.s00020g02810,"RNA-binding, Nab2-type zinc finger"
Nbe.v1.s00020g02840,PRLI-interacting factor
Nbe.v1.s00020g02850,"Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of coenzyme Q (CoQ) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate"
Nbe.v1.s00020g02890,gag-polypeptide of LTR copia-type
Nbe.v1.s00020g02900,gag-polypeptide of LTR copia-type
Nbe.v1.s00020g02910,fatty acid beta-oxidation multifunctional protein
Nbe.v1.s00020g02920,fatty acid beta-oxidation multifunctional protein
Nbe.v1.s00020g02930,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
Nbe.v1.s00020g02940,Cytosolic domain of 10TM putative phosphate transporter
Nbe.v1.s00020g02960,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Nbe.v1.s00020g02970,RING-type zinc-finger
Nbe.v1.s00020g02980,Belongs to the eukaryotic ribosomal protein P1 P2 family
Nbe.v1.s00020g02990,Protein of unknown function (DUF789)
Nbe.v1.s00020g03000,GDSL-like Lipase/Acylhydrolase
Nbe.v1.s00020g03020,Vinorine synthase-like
Nbe.v1.s00020g03030,"Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked"
Nbe.v1.s00020g03040,Pentatricopeptide repeat-containing protein
Nbe.v1.s00020g03050,Family of unknown function (DUF716)
Nbe.v1.s00020g03060,"Protein of unknown function, DUF538"
Nbe.v1.s00020g03070,Kelch motif
Nbe.v1.s00020g03080,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 6-like
Nbe.v1.s00020g03100,"Protein phosphatase 2A homologues, catalytic domain."
Nbe.v1.s00020g03110,Amino acid permease
Nbe.v1.s00020g03120,"agl61,dia"
Nbe.v1.s00020g03130,Zinc finger CCCH domain-containing protein 69-like
Nbe.v1.s00020g03150,DNA polymerase
Nbe.v1.s00020g03160,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00020g03170,Belongs to the peptidase M10A family
Nbe.v1.s00020g03190,Short calmodulin-binding motif containing conserved Ile and Gln residues.
Nbe.v1.s00020g03200,SOSS complex subunit B homolog
Nbe.v1.s00020g03210,Domain of unknown function (DUF3444)
Nbe.v1.s00020g03220,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00020g03240,E3 ubiquitin-protein ligase
Nbe.v1.s00020g03250,Importin-5-like isoform X1
Nbe.v1.s00020g03260,Acetyl xylan esterase (AXE1)
Nbe.v1.s00020g03270,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00020g03280,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00020g03290,MOSC N-terminal beta barrel domain
Nbe.v1.s00020g03300,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00020g03310,Neprosin activation peptide
Nbe.v1.s00020g03320,Reverse transcriptase-like
Nbe.v1.s00020g03390,Cytochrome p450
Nbe.v1.s00020g03410,Pumilio-family RNA binding repeat
Nbe.v1.s00020g03420,Belongs to the chaperonin (HSP60) family
Nbe.v1.s00020g03430,Protein kinase domain
Nbe.v1.s00020g03450,isoform X1
Nbe.v1.s00020g03460,isoform X1
Nbe.v1.s00020g03480,Sigma factor PP2C-like phosphatases
Nbe.v1.s00020g03510,"2-oxoisovalerate dehydrogenase subunit beta 1, mitochondrial-like"
Nbe.v1.s00020g03520,LSM domain
Nbe.v1.s00020g03540,cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Nbe.v1.s00020g03550,NusB family
Nbe.v1.s00020g03590,nuclease activity
Nbe.v1.s00020g03610,ribosome biogenesis
Nbe.v1.s00020g03650,Belongs to the syntaxin family
Nbe.v1.s00020g03680,"Pyruvate kinase, cytosolic"
